id,clasificacion_cliente
37345,segmento_1
37346,segmento_1
37347,segmento_1
37348,segmento_1
37349,segmento_2
37350,segmento_1
37351,segmento_3
37352,segmento_1
37353,segmento_1
37354,segmento_1
37355,segmento_1
37356,segmento_1
37357,segmento_1
37358,segmento_1
37359,segmento_1
37360,segmento_1
37361,segmento_1
37362,segmento_1
37363,segmento_2
37364,segmento_1
37365,segmento_1
37366,segmento_1
37367,segmento_2
37368,segmento_2
37369,segmento_1
37370,segmento_1
37371,segmento_1
37372,segmento_1
37373,segmento_1
37374,segmento_1
37375,segmento_2
37376,segmento_1
37377,segmento_1
37378,segmento_1
37379,segmento_2
37380,segmento_1
37381,segmento_1
37382,segmento_1
37383,segmento_1
37384,segmento_1
37385,segmento_1
37386,segmento_1
37387,segmento_2
37388,segmento_1
37389,segmento_1
37390,segmento_1
37391,segmento_2
37392,segmento_1
37393,segmento_1
37394,segmento_1
37395,segmento_2
37396,segmento_1
37397,segmento_3
37398,segmento_1
37399,segmento_1
37400,segmento_1
37401,segmento_2
37402,segmento_2
37403,segmento_1
37404,segmento_3
37405,segmento_3
37406,segmento_1
37407,segmento_1
37408,segmento_1
37409,segmento_1
37410,segmento_1
37411,segmento_1
37412,segmento_1
37413,segmento_2
37414,segmento_1
37415,segmento_2
37416,segmento_1
37417,segmento_1
37418,segmento_1
37419,segmento_1
37420,segmento_1
37421,segmento_1
37422,segmento_1
37423,segmento_1
37424,segmento_1
37425,segmento_1
37426,segmento_1
37427,segmento_1
37428,segmento_1
37429,segmento_1
37430,segmento_1
37431,segmento_2
37432,segmento_1
37433,segmento_2
37434,segmento_2
37435,segmento_3
37436,segmento_2
37437,segmento_1
37438,segmento_1
37439,segmento_1
17694,segmento_1
37440,segmento_1
37441,segmento_1
37442,segmento_1
37443,segmento_1
37444,segmento_1
37445,segmento_1
37446,segmento_1
37447,segmento_1
37448,segmento_1
37449,segmento_2
37450,segmento_1
37451,segmento_1
37452,segmento_1
37453,segmento_1
37454,segmento_1
37455,segmento_1
32291,segmento_2
37456,segmento_2
37457,segmento_2
37458,segmento_1
37459,segmento_1
37460,segmento_1
37461,segmento_2
37462,segmento_1
22215,segmento_2
37463,segmento_1
37464,segmento_1
36511,segmento_2
37465,segmento_1
37466,segmento_1
37467,segmento_1
37468,segmento_1
37469,segmento_2
37470,segmento_1
37471,segmento_1
37472,segmento_2
37473,segmento_1
37474,segmento_2
37475,segmento_1
37476,segmento_2
37477,segmento_1
37478,segmento_1
37479,segmento_1
37480,segmento_1
37481,segmento_1
37482,segmento_1
37483,segmento_1
37484,segmento_1
37485,segmento_1
37486,segmento_1
37487,segmento_1
37488,segmento_1
37489,segmento_1
37490,segmento_2
37491,segmento_1
37492,segmento_2
37493,segmento_1
37494,segmento_1
13667,segmento_2
37495,segmento_1
37496,segmento_1
37497,segmento_2
37498,segmento_1
37499,segmento_1
37500,segmento_1
37501,segmento_1
37502,segmento_1
37503,segmento_1
37504,segmento_1
37505,segmento_1
37506,segmento_1
37507,segmento_2
37508,segmento_1
37509,segmento_1
37510,segmento_1
37511,segmento_1
37512,segmento_2
37513,segmento_2
37514,segmento_1
37515,segmento_2
37516,segmento_2
37517,segmento_1
37518,segmento_1
37519,segmento_3
37520,segmento_2
37521,segmento_1
37522,segmento_1
37523,segmento_2
37524,segmento_1
37525,segmento_1
37526,segmento_1
37527,segmento_2
37528,segmento_1
37529,segmento_1
37530,segmento_2
37531,segmento_1
37532,segmento_2
37533,segmento_1
37534,segmento_1
37535,segmento_2
37536,segmento_1
37537,segmento_2
37538,segmento_1
37539,segmento_1
31850,segmento_2
37540,segmento_1
37541,segmento_2
37542,segmento_2
37543,segmento_2
37544,segmento_1
37545,segmento_2
37546,segmento_1
37547,segmento_1
37548,segmento_1
37549,segmento_1
37550,segmento_2
37551,segmento_2
37552,segmento_1
37553,segmento_1
37554,segmento_1
37555,segmento_2
37556,segmento_1
37557,segmento_1
37558,segmento_1
37559,segmento_1
37560,segmento_2
37561,segmento_1
37562,segmento_1
37563,segmento_1
37564,segmento_1
37565,segmento_1
37566,segmento_2
37567,segmento_1
37568,segmento_1
37569,segmento_1
37570,segmento_2
37571,segmento_2
37572,segmento_1
37573,segmento_1
37574,segmento_1
37575,segmento_1
37576,segmento_2
37577,segmento_2
37578,segmento_1
37579,segmento_1
37580,segmento_1
37581,segmento_1
37582,segmento_1
37583,segmento_1
36587,segmento_2
37584,segmento_1
37585,segmento_2
37586,segmento_2
37587,segmento_1
37588,segmento_1
37589,segmento_1
37590,segmento_1
37591,segmento_1
37592,segmento_1
37593,segmento_2
37594,segmento_1
37595,segmento_1
37596,segmento_1
37597,segmento_1
37598,segmento_1
37599,segmento_1
37600,segmento_1
37601,segmento_1
37602,segmento_1
37603,segmento_1
37604,segmento_1
37605,segmento_2
37606,segmento_2
37607,segmento_2
37608,segmento_1
37609,segmento_2
37610,segmento_1
37611,segmento_1
37612,segmento_2
37613,segmento_1
37614,segmento_2
37615,segmento_2
37616,segmento_2
37617,segmento_3
37618,segmento_2
37619,segmento_2
37620,segmento_2
37621,segmento_2
37622,segmento_1
37623,segmento_1
37624,segmento_1
37625,segmento_1
37626,segmento_1
37627,segmento_1
37628,segmento_1
37629,segmento_1
37630,segmento_2
37631,segmento_1
37632,segmento_1
37633,segmento_2
37634,segmento_2
37635,segmento_2
37636,segmento_1
37637,segmento_2
37638,segmento_1
37639,segmento_2
37640,segmento_2
37641,segmento_1
37642,segmento_1
37643,segmento_2
37644,segmento_1
37645,segmento_1
37646,segmento_1
37647,segmento_1
37648,segmento_1
37649,segmento_2
37650,segmento_2
37651,segmento_2
37652,segmento_1
37653,segmento_1
37654,segmento_2
37655,segmento_2
37656,segmento_1
37657,segmento_2
8689,segmento_1
37658,segmento_1
37659,segmento_2
37660,segmento_1
37661,segmento_1
37662,segmento_1
37663,segmento_2
37664,segmento_4
37665,segmento_3
37666,segmento_1
37667,segmento_1
37668,segmento_2
37669,segmento_1
37670,segmento_1
37671,segmento_3
37672,segmento_1
37673,segmento_1
37674,segmento_1
37675,segmento_1
37676,segmento_1
37677,segmento_1
37678,segmento_1
37679,segmento_1
37680,segmento_1
37681,segmento_2
37682,segmento_2
37683,segmento_2
37684,segmento_2
37685,segmento_2
37686,segmento_2
37687,segmento_2
37688,segmento_2
37689,segmento_1
37690,segmento_2
37691,segmento_2
37692,segmento_2
37693,segmento_2
37694,segmento_1
37695,segmento_1
37696,segmento_1
37697,segmento_1
37698,segmento_2
37699,segmento_2
37700,segmento_1
37701,segmento_2
4455,segmento_2
3819,segmento_3
37702,segmento_2
37703,segmento_1
27708,segmento_2
37704,segmento_1
37705,segmento_1
37706,segmento_1
37707,segmento_1
37708,segmento_1
37709,segmento_1
37710,segmento_1
37711,segmento_2
37712,segmento_2
37713,segmento_1
37714,segmento_1
37715,segmento_2
37716,segmento_1
37717,segmento_2
37718,segmento_3
37719,segmento_2
32333,segmento_3
37720,segmento_1
37721,segmento_1
37722,segmento_1
37723,segmento_1
37724,segmento_1
22970,segmento_2
37725,segmento_1
37726,segmento_4
4479,segmento_3
37727,segmento_1
37728,segmento_1
37729,segmento_1
37730,segmento_1
37731,segmento_3
37732,segmento_1
37733,segmento_1
37734,segmento_1
37735,segmento_2
37736,segmento_2
37737,segmento_2
37738,segmento_2
37739,segmento_2
37740,segmento_1
37741,segmento_1
37742,segmento_1
37743,segmento_1
37744,segmento_2
37745,segmento_1
37746,segmento_1
37747,segmento_1
37748,segmento_3
37749,segmento_1
4057,segmento_1
37750,segmento_1
37751,segmento_1
37752,segmento_3
37753,segmento_2
37754,segmento_1
37755,segmento_3
37756,segmento_1
37757,segmento_1
37758,segmento_1
37759,segmento_2
37760,segmento_2
37761,segmento_1
37762,segmento_2
37763,segmento_3
37764,segmento_1
37765,segmento_1
37766,segmento_2
37767,segmento_2
37768,segmento_2
37769,segmento_2
37770,segmento_2
37771,segmento_2
37772,segmento_2
37773,segmento_1
37774,segmento_2
37775,segmento_1
13278,segmento_2
37776,segmento_1
37777,segmento_1
37778,segmento_1
37779,segmento_1
37780,segmento_1
37781,segmento_3
37782,segmento_1
37783,segmento_2
37784,segmento_1
37785,segmento_2
37786,segmento_1
37787,segmento_1
37788,segmento_1
37789,segmento_2
37790,segmento_2
37791,segmento_1
37792,segmento_2
37793,segmento_1
37794,segmento_2
37795,segmento_1
37796,segmento_2
37797,segmento_2
37798,segmento_2
37799,segmento_1
37800,segmento_1
37801,segmento_1
37802,segmento_1
37803,segmento_1
37804,segmento_2
37805,segmento_2
37806,segmento_1
37807,segmento_1
37808,segmento_1
37809,segmento_1
37810,segmento_1
37811,segmento_1
37812,segmento_3
37813,segmento_2
37814,segmento_2
37815,segmento_2
37816,segmento_3
37817,segmento_2
37818,segmento_1
37819,segmento_2
37820,segmento_3
37821,segmento_1
37822,segmento_1
37823,segmento_1
37824,segmento_1
37825,segmento_2
37826,segmento_1
37827,segmento_2
37828,segmento_1
37829,segmento_1
37830,segmento_1
37831,segmento_1
37832,segmento_1
37833,segmento_1
37834,segmento_1
37835,segmento_3
37836,segmento_1
37837,segmento_1
37838,segmento_2
37839,segmento_3
37840,segmento_1
37841,segmento_1
37842,segmento_1
37843,segmento_1
37844,segmento_1
37845,segmento_1
37846,segmento_2
37847,segmento_1
37848,segmento_1
37849,segmento_1
37850,segmento_1
37851,segmento_1
37852,segmento_2
37853,segmento_2
37854,segmento_1
37855,segmento_1
37856,segmento_1
37857,segmento_1
37858,segmento_1
37859,segmento_1
37860,segmento_2
37861,segmento_1
37862,segmento_1
37863,segmento_2
37864,segmento_1
37865,segmento_2
37866,segmento_1
37867,segmento_2
37868,segmento_2
37869,segmento_2
37870,segmento_1
37871,segmento_2
37872,segmento_1
37873,segmento_1
37874,segmento_1
37875,segmento_2
37876,segmento_2
37877,segmento_1
37878,segmento_1
37879,segmento_1
37880,segmento_1
37881,segmento_2
37882,segmento_2
37883,segmento_2
37884,segmento_1
37885,segmento_1
37886,segmento_2
37887,segmento_1
37888,segmento_1
37889,segmento_2
37890,segmento_1
37891,segmento_2
37892,segmento_2
37893,segmento_2
37894,segmento_2
37895,segmento_1
37896,segmento_2
37897,segmento_1
37898,segmento_3
37899,segmento_1
37900,segmento_1
37901,segmento_2
37902,segmento_3
37903,segmento_1
37904,segmento_1
37905,segmento_2
37906,segmento_2
37907,segmento_1
37908,segmento_1
37909,segmento_1
37910,segmento_1
37911,segmento_1
37912,segmento_1
37913,segmento_1
37914,segmento_2
37915,segmento_2
37916,segmento_2
37917,segmento_1
37918,segmento_1
37919,segmento_1
37920,segmento_4
37921,segmento_2
37922,segmento_1
37923,segmento_1
37924,segmento_1
4021,segmento_2
37925,segmento_1
37926,segmento_1
37927,segmento_1
37928,segmento_2
8414,segmento_2
37929,segmento_2
37930,segmento_1
37931,segmento_1
27017,segmento_1
37932,segmento_1
37933,segmento_1
37934,segmento_1
37935,segmento_1
37936,segmento_1
37937,segmento_1
37938,segmento_1
37939,segmento_1
37940,segmento_1
37941,segmento_1
37942,segmento_2
37943,segmento_1
37944,segmento_1
37945,segmento_1
37946,segmento_2
37947,segmento_2
8395,segmento_1
37948,segmento_1
37949,segmento_1
37950,segmento_2
37951,segmento_3
37952,segmento_1
37953,segmento_1
32326,segmento_2
37954,segmento_1
37955,segmento_3
37956,segmento_2
37957,segmento_1
37958,segmento_1
37959,segmento_2
37960,segmento_1
37961,segmento_1
37962,segmento_2
37963,segmento_1
37964,segmento_1
37965,segmento_1
37966,segmento_1
37967,segmento_1
37968,segmento_1
37969,segmento_1
37970,segmento_1
37971,segmento_1
37972,segmento_1
37973,segmento_1
37974,segmento_2
37975,segmento_1
37976,segmento_2
37977,segmento_1
37978,segmento_2
37979,segmento_1
37980,segmento_1
37981,segmento_1
37982,segmento_1
37983,segmento_1
37984,segmento_2
37985,segmento_2
37986,segmento_1
37987,segmento_2
37988,segmento_1
37989,segmento_2
9043,segmento_2
9072,segmento_1
37990,segmento_1
37991,segmento_1
37992,segmento_1
37993,segmento_3
37994,segmento_1
37995,segmento_1
37996,segmento_1
37997,segmento_1
37998,segmento_2
37999,segmento_1
38000,segmento_2
38001,segmento_1
38002,segmento_1
38003,segmento_2
38004,segmento_1
38005,segmento_1
38006,segmento_1
38007,segmento_1
22580,segmento_2
38008,segmento_1
38009,segmento_2
38010,segmento_2
38011,segmento_1
38012,segmento_1
38013,segmento_1
38014,segmento_2
38015,segmento_1
38016,segmento_1
38017,segmento_1
38018,segmento_1
38019,segmento_2
38020,segmento_1
38021,segmento_2
38022,segmento_2
38023,segmento_2
38024,segmento_2
27252,segmento_1
38025,segmento_1
38026,segmento_2
17862,segmento_2
38027,segmento_1
38028,segmento_3
38029,segmento_1
38030,segmento_1
38031,segmento_1
38032,segmento_1
38033,segmento_1
38034,segmento_2
38035,segmento_1
38036,segmento_1
36505,segmento_1
38037,segmento_2
38038,segmento_1
38039,segmento_1
38040,segmento_1
38041,segmento_1
38042,segmento_2
38043,segmento_1
38044,segmento_1
38045,segmento_1
38046,segmento_1
38047,segmento_1
38048,segmento_1
38049,segmento_1
38050,segmento_2
38051,segmento_1
38052,segmento_1
38053,segmento_1
38054,segmento_2
38055,segmento_1
38056,segmento_1
38057,segmento_1
38058,segmento_1
38059,segmento_1
38060,segmento_2
38061,segmento_1
38062,segmento_1
38063,segmento_2
38064,segmento_1
38065,segmento_1
38066,segmento_1
38067,segmento_2
38068,segmento_1
38069,segmento_1
38070,segmento_1
38071,segmento_2
38072,segmento_1
38073,segmento_2
38074,segmento_2
38075,segmento_2
38076,segmento_2
38077,segmento_1
38078,segmento_2
38079,segmento_3
38080,segmento_2
38081,segmento_3
38082,segmento_1
38083,segmento_1
38084,segmento_1
38085,segmento_1
38086,segmento_1
38087,segmento_1
38088,segmento_1
38089,segmento_1
38090,segmento_1
38091,segmento_2
38092,segmento_1
38093,segmento_1
38094,segmento_1
38095,segmento_1
38096,segmento_2
38097,segmento_1
38098,segmento_1
38099,segmento_1
38100,segmento_1
38101,segmento_2
38102,segmento_1
38103,segmento_1
38104,segmento_1
38105,segmento_1
38106,segmento_2
38107,segmento_1
38108,segmento_1
38109,segmento_2
38110,segmento_2
38111,segmento_1
38112,segmento_1
38113,segmento_2
38114,segmento_2
38115,segmento_2
38116,segmento_2
38117,segmento_1
38118,segmento_1
38119,segmento_1
38120,segmento_1
38121,segmento_1
38122,segmento_1
38123,segmento_2
38124,segmento_2
38125,segmento_1
38126,segmento_1
38127,segmento_1
38128,segmento_2
38129,segmento_3
38130,segmento_2
38131,segmento_2
38132,segmento_2
38133,segmento_2
38134,segmento_2
38135,segmento_1
38136,segmento_1
38137,segmento_1
38138,segmento_1
38139,segmento_2
38140,segmento_2
38141,segmento_3
38142,segmento_2
15364,segmento_2
38143,segmento_1
38144,segmento_1
38145,segmento_1
38146,segmento_1
4105,segmento_1
38147,segmento_2
38148,segmento_2
38149,segmento_1
38150,segmento_1
38151,segmento_1
38152,segmento_1
38153,segmento_1
38154,segmento_1
38155,segmento_1
38156,segmento_1
38157,segmento_2
22331,segmento_2
38158,segmento_2
38159,segmento_1
38160,segmento_2
38161,segmento_1
38162,segmento_1
38163,segmento_2
38164,segmento_1
38165,segmento_2
17614,segmento_1
38166,segmento_2
38167,segmento_1
38168,segmento_1
38169,segmento_2
38170,segmento_2
38171,segmento_1
38172,segmento_1
38173,segmento_1
38174,segmento_1
38175,segmento_2
38176,segmento_1
38177,segmento_1
38178,segmento_1
38179,segmento_1
38180,segmento_1
38181,segmento_1
38182,segmento_1
38183,segmento_1
38184,segmento_2
38185,segmento_1
38186,segmento_1
38187,segmento_1
38188,segmento_1
38189,segmento_1
38190,segmento_1
38191,segmento_1
38192,segmento_1
38193,segmento_1
38194,segmento_1
38195,segmento_1
38196,segmento_2
23040,segmento_2
38197,segmento_1
36972,segmento_2
38198,segmento_1
38199,segmento_1
38200,segmento_1
38201,segmento_1
38202,segmento_1
38203,segmento_1
38204,segmento_1
38205,segmento_1
38206,segmento_1
38207,segmento_1
38208,segmento_1
38209,segmento_1
38210,segmento_1
38211,segmento_3
38212,segmento_2
38213,segmento_2
38214,segmento_1
38215,segmento_2
38216,segmento_2
38217,segmento_1
38218,segmento_1
38219,segmento_1
38220,segmento_1
38221,segmento_2
38222,segmento_1
38223,segmento_1
38224,segmento_3
9055,segmento_1
38225,segmento_1
38226,segmento_1
38227,segmento_2
38228,segmento_1
38229,segmento_1
38230,segmento_1
38231,segmento_1
38232,segmento_2
38233,segmento_2
38234,segmento_1
38235,segmento_1
38236,segmento_1
38237,segmento_1
38238,segmento_2
38239,segmento_1
38240,segmento_2
38241,segmento_1
38242,segmento_2
38243,segmento_1
38244,segmento_2
38245,segmento_1
27270,segmento_1
38246,segmento_2
38247,segmento_1
22962,segmento_2
38248,segmento_2
38249,segmento_1
38250,segmento_2
38251,segmento_2
17919,segmento_3
38252,segmento_2
38253,segmento_1
38254,segmento_1
36504,segmento_2
38255,segmento_1
38256,segmento_1
38257,segmento_1
38258,segmento_1
38259,segmento_2
38260,segmento_3
38261,segmento_1
38262,segmento_1
38263,segmento_1
38264,segmento_1
38265,segmento_1
38266,segmento_1
38267,segmento_2
38268,segmento_1
38269,segmento_1
38270,segmento_2
38271,segmento_1
38272,segmento_2
38273,segmento_1
38274,segmento_1
38275,segmento_2
38276,segmento_1
38277,segmento_3
38278,segmento_2
38279,segmento_1
38280,segmento_1
38281,segmento_1
38282,segmento_1
38283,segmento_1
38284,segmento_1
38285,segmento_1
38286,segmento_1
38287,segmento_2
38288,segmento_2
38289,segmento_1
38290,segmento_1
38291,segmento_2
38292,segmento_1
38293,segmento_2
38294,segmento_1
38295,segmento_1
38296,segmento_2
38297,segmento_2
38298,segmento_1
38299,segmento_1
38300,segmento_2
38301,segmento_2
38302,segmento_1
38303,segmento_1
38304,segmento_1
38305,segmento_1
38306,segmento_1
38307,segmento_2
38308,segmento_1
38309,segmento_1
38310,segmento_2
38311,segmento_2
38312,segmento_1
38313,segmento_1
38314,segmento_2
38315,segmento_1
38316,segmento_1
38317,segmento_1
38318,segmento_2
38319,segmento_1
38320,segmento_1
38321,segmento_1
38322,segmento_2
38323,segmento_2
38324,segmento_2
38325,segmento_1
38326,segmento_1
38327,segmento_1
38328,segmento_1
38329,segmento_1
38330,segmento_1
38331,segmento_1
38332,segmento_1
38333,segmento_2
38334,segmento_1
38335,segmento_2
38336,segmento_2
38337,segmento_2
38338,segmento_1
38339,segmento_1
38340,segmento_1
38341,segmento_1
38342,segmento_1
38343,segmento_1
38344,segmento_2
38345,segmento_1
38346,segmento_1
38347,segmento_1
38348,segmento_2
8398,segmento_2
38349,segmento_2
38350,segmento_1
38351,segmento_1
38352,segmento_2
38353,segmento_1
38354,segmento_1
38355,segmento_1
8440,segmento_3
38356,segmento_2
22364,segmento_2
38357,segmento_2
38358,segmento_2
38359,segmento_1
38360,segmento_1
38361,segmento_1
38362,segmento_1
38363,segmento_2
38364,segmento_1
38365,segmento_1
38366,segmento_1
18388,segmento_1
38367,segmento_1
38368,segmento_2
38369,segmento_2
38370,segmento_1
27716,segmento_2
38371,segmento_1
38372,segmento_3
38373,segmento_2
38374,segmento_2
38375,segmento_2
38376,segmento_2
38377,segmento_2
4077,segmento_2
38378,segmento_2
38379,segmento_2
38380,segmento_1
38381,segmento_1
38382,segmento_3
38383,segmento_2
38384,segmento_2
38385,segmento_1
38386,segmento_1
38387,segmento_1
38388,segmento_1
38389,segmento_1
38390,segmento_1
38391,segmento_1
38392,segmento_1
38393,segmento_3
38394,segmento_1
38395,segmento_1
38396,segmento_1
38397,segmento_1
38398,segmento_1
38399,segmento_2
38400,segmento_1
38401,segmento_2
38402,segmento_2
38403,segmento_1
38404,segmento_1
38405,segmento_2
38406,segmento_2
38407,segmento_1
38408,segmento_1
38409,segmento_2
38410,segmento_1
13713,segmento_1
38411,segmento_3
27268,segmento_1
38412,segmento_1
38413,segmento_2
38414,segmento_1
8634,segmento_1
38415,segmento_1
38416,segmento_1
38417,segmento_1
38418,segmento_1
38419,segmento_1
38420,segmento_2
38421,segmento_2
38422,segmento_1
38423,segmento_1
38424,segmento_2
38425,segmento_1
38426,segmento_1
38427,segmento_2
38428,segmento_2
38429,segmento_2
38430,segmento_1
38431,segmento_2
38432,segmento_1
38433,segmento_1
38434,segmento_3
38435,segmento_1
38436,segmento_1
38437,segmento_1
38438,segmento_1
38439,segmento_2
38440,segmento_1
38441,segmento_1
38442,segmento_2
38443,segmento_1
38444,segmento_1
38445,segmento_1
38446,segmento_2
38447,segmento_2
38448,segmento_1
38449,segmento_1
38450,segmento_1
38451,segmento_1
38452,segmento_1
38453,segmento_1
38454,segmento_3
38455,segmento_2
38456,segmento_1
38457,segmento_1
38458,segmento_1
38459,segmento_1
38460,segmento_1
38461,segmento_2
38462,segmento_2
38463,segmento_3
38464,segmento_1
38465,segmento_2
38466,segmento_2
38467,segmento_1
38468,segmento_1
38469,segmento_2
38470,segmento_1
38471,segmento_1
38472,segmento_1
38473,segmento_2
38474,segmento_1
38475,segmento_1
38476,segmento_2
38477,segmento_2
38478,segmento_1
38479,segmento_1
38480,segmento_1
38481,segmento_1
38482,segmento_1
38483,segmento_1
38484,segmento_3
38485,segmento_1
38486,segmento_1
38487,segmento_1
38488,segmento_1
38489,segmento_1
38490,segmento_1
38491,segmento_1
38492,segmento_2
38493,segmento_1
38494,segmento_1
38495,segmento_1
38496,segmento_1
38497,segmento_1
38498,segmento_1
38499,segmento_2
38500,segmento_1
38501,segmento_1
38502,segmento_2
38503,segmento_1
38504,segmento_2
38505,segmento_2
38506,segmento_2
38507,segmento_1
38508,segmento_2
38509,segmento_2
38510,segmento_2
38511,segmento_1
38512,segmento_2
38513,segmento_3
38514,segmento_1
38515,segmento_1
38516,segmento_1
38517,segmento_2
38518,segmento_2
38519,segmento_2
38520,segmento_1
38521,segmento_1
38522,segmento_1
38523,segmento_1
38524,segmento_1
38525,segmento_2
38526,segmento_2
38527,segmento_1
38528,segmento_2
38529,segmento_1
38530,segmento_2
38531,segmento_1
38532,segmento_1
38533,segmento_2
38534,segmento_2
38535,segmento_2
38536,segmento_1
38537,segmento_1
38538,segmento_1
38539,segmento_1
38540,segmento_1
38541,segmento_1
38542,segmento_1
38543,segmento_1
38544,segmento_1
38545,segmento_1
38546,segmento_2
38547,segmento_1
38548,segmento_1
38549,segmento_1
38550,segmento_2
38551,segmento_2
38552,segmento_1
38553,segmento_1
38554,segmento_1
38555,segmento_1
38556,segmento_2
38557,segmento_1
38558,segmento_3
38559,segmento_1
22366,segmento_1
38560,segmento_1
38561,segmento_1
38562,segmento_1
38563,segmento_1
38564,segmento_2
38565,segmento_1
38566,segmento_1
38567,segmento_1
38568,segmento_2
38569,segmento_1
38570,segmento_1
38571,segmento_1
38572,segmento_2
38573,segmento_1
38574,segmento_2
38575,segmento_1
38576,segmento_1
38577,segmento_1
38578,segmento_1
38579,segmento_1
38580,segmento_2
38581,segmento_2
38582,segmento_1
38583,segmento_1
38584,segmento_2
38585,segmento_1
38586,segmento_1
38587,segmento_1
38588,segmento_3
38589,segmento_2
38590,segmento_1
38591,segmento_1
38592,segmento_1
38593,segmento_1
38594,segmento_2
38595,segmento_1
38596,segmento_2
38597,segmento_2
38598,segmento_1
38599,segmento_1
38600,segmento_1
38601,segmento_1
38602,segmento_1
38603,segmento_2
38604,segmento_2
38605,segmento_1
38606,segmento_1
38607,segmento_1
38608,segmento_1
38609,segmento_1
38610,segmento_1
38611,segmento_1
38612,segmento_2
38613,segmento_1
38614,segmento_1
38615,segmento_1
4055,segmento_2
38616,segmento_3
38617,segmento_2
36948,segmento_1
38618,segmento_1
38619,segmento_1
38620,segmento_1
38621,segmento_1
38622,segmento_2
38623,segmento_1
38624,segmento_1
38625,segmento_2
38626,segmento_2
38627,segmento_1
38628,segmento_1
38629,segmento_1
38630,segmento_1
38631,segmento_1
38632,segmento_1
38633,segmento_3
38634,segmento_1
38635,segmento_1
